order_id,order_date,season,product_category,items_count,order_amount,channel,neighborhood,density_bucket,is_new_customer
Fa_00001,2024-08-20,Fall_2024,bed_frame,1,60.0,website,Fenway,high,True
Fa_00002,2024-09-18,Fall_2024,chair,1,69.0,website,Cambridgeport,high,True
Fa_00003,2024-09-25,Fall_2024,cleaning_set,1,39.99,other,Revere,low,False
Fa_00004,2024-10-01,Fall_2024,chair,3,207.0,xiaohongshu_wechat,Fenway,high,True
Fa_00005,2024-08-06,Fall_2024,mattress,1,210.0,xiaohongshu_wechat,Cambridgeport,high,True
Fa_00006,2024-10-25,Fall_2024,bed_frame,3,135.0,other,Mission Hill,high,True
Fa_00007,2024-10-31,Fall_2024,chair,1,69.0,other,Brighton,high,True
Fa_00008,2024-09-24,Fall_2024,kitchen_set,2,79.98,xiaohongshu_wechat,Quincy,low,True
Fa_00009,2024-08-24,Fall_2024,desk,1,79.0,xiaohongshu_wechat,Jamaica Plain,medium,True
Fa_00010,2024-08-25,Fall_2024,cleaning_set,2,79.98,xiaohongshu_wechat,Fenway,high,False
Fa_00011,2024-10-06,Fall_2024,desk,3,237.0,xiaohongshu_wechat,Mission Hill,high,True
Fa_00012,2024-09-30,Fall_2024,chair,1,69.0,xiaohongshu_wechat,Somerville,medium,False
Fa_00013,2024-09-28,Fall_2024,chair,1,69.0,website,Brighton,high,True
Fa_00014,2024-08-16,Fall_2024,kitchen_set,1,39.99,xiaohongshu_wechat,Allston,high,True
Fa_00015,2024-10-10,Fall_2024,bed_frame,2,120.0,xiaohongshu_wechat,Cambridgeport,high,True
Fa_00016,2024-08-10,Fall_2024,mattress,2,420.0,website,Cambridgeport,high,True
Fa_00017,2024-09-16,Fall_2024,chair,1,69.0,xiaohongshu_wechat,Watertown,medium,True
Fa_00018,2024-08-18,Fall_2024,chair,2,138.0,other,Watertown,medium,True
Fa_00019,2024-10-15,Fall_2024,cleaning_set,1,39.99,xiaohongshu_wechat,Cambridgeport,high,True
Fa_00020,2024-08-05,Fall_2024,desk,1,79.0,xiaohongshu_wechat,Fenway,high,True
Fa_00021,2024-08-13,Fall_2024,chair,1,69.0,xiaohongshu_wechat,Somerville,medium,True
Fa_00022,2024-08-13,Fall_2024,bed_frame,2,60.0,xiaohongshu_wechat,Dorchester,medium,True
Fa_00023,2024-08-20,Fall_2024,desk,1,79.0,xiaohongshu_wechat,Brighton,high,True
Fa_00024,2024-09-06,Fall_2024,chair,2,138.0,other,Medford,medium,True
Fa_00025,2024-10-26,Fall_2024,mattress,1,210.0,xiaohongshu_wechat,Fenway,high,True
Fa_00026,2024-09-08,Fall_2024,desk,1,79.0,xiaohongshu_wechat,Watertown,medium,False
Fa_00027,2024-09-01,Fall_2024,chair,1,69.0,xiaohongshu_wechat,Watertown,medium,True
Fa_00028,2024-10-10,Fall_2024,cleaning_set,1,39.99,website,Brookline,medium,True
Fa_00029,2024-08-10,Fall_2024,chair,1,69.0,website,Cambridgeport,high,False
Fa_00030,2024-08-31,Fall_2024,cleaning_set,1,39.99,xiaohongshu_wechat,Quincy,low,True
Fa_00031,2024-08-17,Fall_2024,bed_frame,2,90.0,xiaohongshu_wechat,Cambridgeport,high,False
